Course,Name,Description,Notes,Prerequisites,Corequisites,Antirequisites
ACTSC127,"Introduction to Global Capital Markets and Financial Analytics","This course introduces financial markets and institutions, examining the role of finance in the global economy while introducing foundational principles of financial decision making. The course utilizes analytic and computational approaches to the topics, enabling students to develop data management and analysis competencies.","","Prereq: CS 115 or CS 135; Accounting and Financial Management or Mathematics/Chartered Professional Accountancy students.","","Antireq: CFM 101, AFM 121"
ACTSC221,"Introductory Financial Mathematics (Non-Specialist Level)","The theory of rates of interest and discount; annuities and sinking funds with practical applications to mortgage and bond questions. Yield rates. [Offered: F,W,S]","","Prereq: Level at least 2A; Not open to Actuarial Science students.","","Antireq: ACTSC 231; (For Mathematics students only - CIVE 292/392)"
ACTSC231,"Introductory Financial Mathematics","The theory of rates of interest and discount including the theoretical continuous case of forces of interest and discount. Annuities and sinking funds, including the continuous case. Practical and theoretical applications primarily to mortgages and bonds. Yield rates. [Offered: F,W,S]","","Prereq: MATH 137 or 147 and (STAT 220 with a grade of at least 70% or a corequisite of STAT 230 or 240); Level at least 2A; Not open to students who have received credit for ACTSC 232.","","Antireq: ACTSC 221"
ACTSC232,"Life Contingencies 1","The future lifetime random variable: probability and survival functions; force of mortality; complete and curtate expectation of life; Makeham and Gompertz mortality laws. Life tables: characteristics of population and insurance life tables;  selection; fractional age assumptions. Life insurance payments and annuity payments: present value random variables; expected present values; higher moments; actuarial notation. Annual, 1/mthly and continuous cases. Relationships between insurance and annuity functions. Premiums: expense loadings. Present value of future loss random variables and distribution, net and gross cases. Equivalence principle. Portfolio percentile principle. Extra risks. ","[Note: Students who have met the ELPE requirement must contact their ACTSC advisor. Offered: F,W,S]","Prereq: (At least 60% in ACTSC 231) and (STAT 230 or 240) and (at least 60% in MTHEL 131). Not open to students who received credit for ACTSC 331.","",""
ACTSC291,"Global Capital Markets and Financial Analytics","This course offers an overview of global capital markets and asset valuation. Topics may include an overview of financial markets and instruments, time value of money, valuation of financial assets, and financial risk and portfolio management. The course utilizes an analytic and computational approach to the topics, enabling students to develop data management and analysis competencies.","","Prereq: CFM 101 or AFM 127/ACTSC 127; Accounting and Financial Management, Computing and Financial Management, or Mathematics/Chartered Professional Accountancy students.","","Antireq: AFM 273, ACTSC 372, ECON 371"
ACTSC331,"Life Contingencies 2","Policy Values: Annual, 1/mthly, and continuous cases. Thieles equation. Modified premium policy values. Multiple state models: applications in life contingencies; assumptions; Kolmogorov equations; premiums, policy values, multiple decrement models. Joint life models: valuation of insurance benefits on joint lives, dependent and independent cases. ","[Note: Some of the material covered in STAT 333 reinforces some of the concepts covered in this course. Therefore students might find it beneficial to take STAT 333 and ACTSC 331 at the same time. Offered: F,W,S]","Prereq: ACTSC 232 with a grade of at least 60%; Actuarial Science students only","",""
ACTSC362,"Introduction to Property and Casualty Practice","Introduction to property and casualty coverages. Claim payment process, development triangles, and diagnostic testing. Estimating ultimate claims using development, frequency-severity, expected and Bornhuetter Ferguson methods. Estimating unpaid claim and unallocated loss adjustment expense liabilities. Ratemaking process, including expense provisions, profit and contingencies, and adjustments for catastrophes and large losses. Pricing for deductibles and increased limits. Introduction to reinsurance pricing and reserving. Commercial lines pricing. [Offered: F,W]","","Prereq: ACTSC 231 with a grade of at least 60%; Actuarial Science or Mathematical Finance students only.","Coreq: STAT 231 or 241",""
ACTSC363,"Casualty and Health Insurance Mathematics 1","Introduction to the collective risk model; models for loss frequency: (a, b, 0) and (a, b, 1) classes of distributions, compound distributions andmixtures; models for loss severity: exponential, gamma, lognormal, Pareto, Weibull, and mixtures; measures of distribution tails; impact of policy adjustments on loss frequency and severity; estimation of frequency and severity models. [Offered: F,W]","","Prereq: Actuarial Science or Mathematical Finance students only.","Coreq: STAT 330.","Antireq: ACTSC 431 (taken in or before spring 2020)."
ACTSC372,"Investment Science and Corporate Finance","Introduction to financial markets. Different return and risk measures. Investment rules and capital budgeting. Rigorous derivations of Markowitz portfolio optimization and its application in investment decisions. Capital Asset Pricing Model (CAPM) and Arbitrage Pricing Theory (APT). Weighted average cost of capital (WACC) and efficient market hypothesis (EMH). Long-term financing, capital structure (MM propositions), and dividend policies. Introduction to options, forwards, and swaps. [Offered: F,W,S]","","Prereq: ACTSC 231, MATH 235/245, MATH 237/247.","","Antireq: AFM 272/ACTSC 291, AFM 273, 274, AFM 275/AFM 372/ACTSC 391, BUS 393W, ECON 371, MATBUS 371"
ACTSC391,"Corporate Finance","This is the first in a two-course sequence that deals with corporate financial decision making. Topics may include capital budgeting, cost of capital, security issuance, capital structure, payout policy and dividends, and short-term finance. Where suitable, topics are treated from a mathematical and quantitative perspective.","","Prereq: AFM 272/ACTSC 291; Computing and Financial Management, Mathematics/Chartered Professional Accountancy students.","","Antireq: AFM 274, AFM 372, ACTSC 372, ECON 371"
