Major,Year,Link,Requirements
Actuarial Science,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Actuarial-Science1.html,"{'1. One of': ['MATH 237 Calculus 3 for Honours Mathematics', 'MATH 247 Calculus 3 (Advanced Level)'], '2. One of': ['AMATH 250 Introduction to Differential Equations', 'AMATH 251 Introduction to Differential Equations (Advanced Level)', 'AMATH 350 Differential Equations for Business and Economics'], '3. All of': ['AFM 101 Introduction to Financial Accounting'], '4. ACTSC 231 Introductory Financial Mathematics': ['ACTSC 232 Life Contingencies 1', 'ACTSC 331 Life Contingencies 2', 'ACTSC 363 Casualty and Health Insurance Mathematics 1', 'ACTSC 372 Investment Science and Corporate Finance', 'ACTSC 431 Casualty and Health Insurance Mathematics 2', 'ACTSC 446 Mathematics of Financial Markets', 'ECON 101 Introduction to Microeconomics', 'ECON 102 Introduction to Macroeconomics', 'ENGL 378/MTHEL 300 Professional Communications in Statistics and Actuarial Science', 'MTHEL 131 Introduction to Actuarial Practice', 'STAT 330 Mathematical Statistics', 'STAT 331 Applied Linear Models', 'STAT 333 Stochastic Processes 1'], '5. One of': ['STAT 340 Stochastic Simulation Methods', 'STAT 341 Computational Statistics and Data Analysis'], '6. Two additional 400-level ACTSC courses': [], '7. Two additional courses chosen from': [], '8. Any 300-or 400-level ACTSC course': ['AFM 424 Equity Investments', 'STAT 431 Generalized Linear Models and their Applications', 'STAT 433 Stochastic Processes', 'STAT 441 Statistical Learning - Classification', 'STAT 443 Forecasting'], '9. One additional 300-level or 400-level math course': []}"
Joint Actuarial Science,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Joint-Actuarial-Science1.html,"{'1. One of': ['MATH 237 Calculus 3 for Honours Mathematics', 'MATH 247 Calculus 3 (Advanced Level)'], '2. All of': ['AFM 101 Introduction to Financial Accounting'], '3. ACTSC 231 Introductory Financial Mathematics': ['ACTSC 232 Life Contingencies 1', 'ACTSC 331 Life Contingencies 2', 'ACTSC 363 Casualty and Health Insurance Mathematics 1', 'ACTSC 372 Investment Science and Corporate Finance', 'ACTSC 431 Casualty and Health Insurance Mathematics 2', 'ACTSC 446 Mathematics of Financial Markets', 'ENGL 378/MTHEL 300 Professional Communications in Statistics and Actuarial Science', 'MTHEL 131 Introduction to Actuarial Practice', 'STAT 330 Mathematical Statistics', 'STAT 333\xa0Stochastic Processes 1'], '4. One 400-level ACTSC course': []}"
Finance Specialization,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-AS-Finance-Specialization.html,"{'1. One of': ['AFM 424 Equity Investments', 'ACTSC 471/AFM 476 Advanced Corporate Finance'], '2. One of': ['AMATH 242/CS 371 Introduction to Computational Mathematics', 'CS 370 Numerical Computation'], '3. All of': ['AFM 102 Introduction to Managerial Accounting', 'ACTSC 445 Quantitative Enterprise Risk Management', 'CS 476 Numeric Computation for Financial Modeling', 'STAT 340 Stochastic Simulation Methods']}"
Predictive Analytics Specialization,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-AS-Predictive-Analytics-Specialization.html,"{'1. All of': ['CS 330 Management Information Systems', 'STAT 341 Computational Statistics and Data Analysis', 'STAT 431 Generalized Linear Models and their Applications', 'STAT 441 Statistical Learning - Classification', 'STAT 443 Forecasting'], '2. One of': ['ACTSC 454 Longevity and Mortality using Predictive Analytics', 'STAT 437 Statistical Methods for Life History Analysis'], '3. One of': ['STAT 440 Computational Inference', 'STAT 442 Data Visualization']}"
Applied Mathematics,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-AM-Degree-Requirements-Applied-Mathematics.html,"{'1. One of': ['MATH 237 Calculus 3 for Honours Mathematics', 'MATH 247 Calculus 3 (Advanced Level)'], '2. All of': ['AMATH 231 Calculus 4', 'AMATH 242/CS 371 Introduction to Computational Mathematics', 'AMATH 251 Introduction to Differential Equations (Advanced Level)', 'AMATH 332/PMATH 332 Applied Complex Analysis', 'AMATH 342 Computational Methods for Differential Equations', 'AMATH 351 Ordinary Differential Equations 2', 'AMATH 353 Partial Differential Equations 1', 'PHYS 121 Mechanics'], '3. Three 400-level AMATH courses': [], '4. One additional 300- or 400-level AMATH course': [], '5. A subject concentration consisting of four additional courses (2.0 units), all from any one department in the faculties of Science or Engineering, or the Department of Economics. Alternatively, a set of four courses (2.0 units) from another academic unit may be eligible, subject to approval by the Applied Mathematics academic advisor.': [], '6. Five additional math courses': []}"
Joint Applied Mathematics,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-AM-Degree-Requirements-Joint-Applied-Math.html,"{'1. One of': ['MATH 237 Calculus 3 for Honours Mathematics', 'MATH 247 Calculus 3 (Advanced Level)'], '2. All of': ['AMATH 231 Calculus 4', 'AMATH 242/CS 371 Introduction to Computational Mathematics', 'AMATH 251 Introduction to Differential Equations (Advanced Level)', 'AMATH 332/PMATH 332 Applied Complex Analysis', 'AMATH 351 Ordinary Differential Equations 2', 'AMATH 353 Partial Differential Equations 1', 'PHYS 121 Mechanics'], '3. Three 400-level AMATH courses': [], '4. A subject concentration consisting of four additional courses (2.0 units) from any one department in the faculties of Science or Engineering, or the Department of Economics. Alternatively, a set of four courses (2.0 units) from another academic unit may be eligible, subject to approval by the Applied Mathematics academic advisor.': []}"
Applied Mathematics with Scientific Computing,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-AM-Degree-Requirements-Applied-Math-Sci-Comp.html,"{'1. One of': ['MATH 237 Calculus 3 for Honours Mathematics', 'MATH 247 Calculus 3 (Advanced Level)'], '2. All of': ['AMATH 231 Calculus 4', 'AMATH 242/CS 371 Introduction to Computational Mathematics', 'AMATH 251 Introduction to Differential Equations (Advanced Level)', 'AMATH 342 Computational Methods for Differential Equations', 'AMATH 442 Computational Methods for Partial Differential Equations', 'CS 230 Introduction to Computers and Computer Systems', 'CS 234 Data Types and Structures', 'CS 475 Computational Linear Algebra', 'STAT 341 Computational Statistics and Data Analysis'], '3. One of': ['CO 250 Introduction to Optimization', 'CO 255 Introduction to Optimization (Advanced Level)'], '4. Two 400-level AMATH courses': [], '5. Two additional 300- or 400-level AMATH courses': []}"
Mathematical Physics,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-AM-Degree-Requirements-Mathematical-Physics.html,"{'1. One of': ['MATH 237 Calculus 3 for Honours Mathematics', 'MATH 247 Calculus 3 (Advanced Level)'], '2. All of': ['AMATH 231 Calculus 4', 'AMATH 242/CS 371 Introduction to Computational Mathematics', 'AMATH 251 Introduction to Differential Equations (Advanced Level)', 'AMATH 271 Introduction to Theoretical Mechanics', 'AMATH 331/PMATH 331 Applied Real Analysis', 'AMATH 332/PMATH 332 Applied Complex Analysis', 'AMATH 351 Ordinary Differential Equations 2', 'AMATH 353 Partial Differential Equations 1', 'AMATH 361 Continuum Mechanics', 'AMATH 373 Quantum Theory 1', 'AMATH 473/PHYS 454 Quantum Theory 2', 'AMATH 475/PHYS 476 Introduction to General Relativity', 'PHYS 121 Mechanics', 'PHYS 122 Waves, Electricity and Magnetism', 'PHYS 234 Quantum Physics 1', 'PHYS 242 Electricity and Magnetism 1'], '3. Two of': ['PHYS 342 Electricity and Magnetism 2', 'PHYS 358 Thermal Physics or ECE 403 Thermal Physics', 'PHYS 359 Statistical Mechanics', 'PHYS 363 Intermediate Classical Mechanics', '3.5 units of AMATH/PHYS electives, at least 1.0 unit of which is at the 300- or 400-level']}"
Biology Specialization,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-AM-Biology-Specialization.html,"{'1. 4.0 units, at least 2.0 units of which are at the 300- or 400-level, from the following list:': ['AMATH 382/BIOL 382 Computational Modelling of Cellular Systems', 'AMATH 383 Introduction to Mathematical Biology'], '2. Any BIOL course': []}"
Economics Specialization,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-AM-Economics-Specialization.html,"{'1. 4.0 units, at least 2.0 units of which are at the 300- or 400-level, from the following list:': ['CO 250 Introduction to Optimization  or CO 255 Introduction to Optimization (Advanced Level)'], '2. Any ECON\xa0course': []}"
