Minor,Year,Link,Requirements
Actuarial Science Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Actuarial-Science-Minor.html,"{'1. All of': [], '2. ACTSC 231 Introductory Financial Mathematics': ['ACTSC 232 Life Contingencies 1', 'AFM 101 Introduction to Financial Accounting', 'MATH 237 Calculus 3 for Honours Mathematics or MATH 247 Calculus 3 (Advanced Level)', 'MTHEL 131 Introduction to Actuarial Practice', 'STAT 330 Mathematical Statistics', 'STAT 333\xa0Stochastic Processes 1'], '3. Two of': ['ACTSC 331 Life Contingencies 2', 'ACTSC 363 Casualty and Health Insurance Mathematics 1', 'ACTSC 372 Investment Science and Corporate Finance'], '4. One additional 400-level ACTSC course': []}"
Actuarial Science Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/MATH-Actuarial-Science-Minor.html,"{'1. All of': [], '2. ACTSC 231 Introductory Financial Mathematics': ['ACTSC 232 Life Contingencies 1', 'AFM 101 Introduction to Financial Accounting', 'MATH 237 Calculus 3 for Honours Mathematics or MATH 247 Calculus 3 (Advanced Level)', 'MTHEL 131 Introduction to Actuarial Practice', 'STAT 330 Mathematical Statistics', 'STAT 333Stochastic Processes 1'], '3. Two of': ['ACTSC 331 Life Contingencies 2', 'ACTSC 363 Casualty and Health Insurance Mathematics 1', 'ACTSC 372 Investment Science and Corporate Finance'], '4. One additional 400-level ACTSC course': []}"
Actuarial Science Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Actuarial-Science-Minor.html,"{'1. All of': [], '2. ACTSC 231 Introductory Financial Mathematics': ['ACTSC 232 Life Contingencies 1', 'AFM 101 Introduction to Financial Accounting', 'MATH 237 Calculus 3 for Honours Mathematics or MATH 247 Calculus 3 (Advanced Level)', 'MTHEL 131 Introduction to Actuarial Practice', 'STAT 330 Mathematical Statistics', 'STAT 333\xa0Stochastic Processes 1'], '3. Two of': ['ACTSC 331 Life Contingencies 2', 'ACTSC 363 Casualty and Health Insurance Mathematics 1', 'ACTSC 372 Investment Science and Corporate Finance'], '4. One additional 400-level ACTSC course': []}"
Actuarial Science Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/MATH-Actuarial-Science-Minor.html,"{'1. All of': [], '2. ACTSC 231 Introductory Financial Mathematics': ['ACTSC 232 Life Contingencies 1', 'AFM 101 Introduction to Financial Accounting', 'MATH 237 Calculus 3 for Honours Mathematics or MATH 247 Calculus 3 (Advanced Level)', 'MTHEL 131 Introduction to Actuarial Practice', 'STAT 330 Mathematical Statistics', 'STAT 333Stochastic Processes 1'], '3. Two of': ['ACTSC 331 Life Contingencies 2', 'ACTSC 363 Casualty and Health Insurance Mathematics 1', 'ACTSC 372 Investment Science and Corporate Finance'], '4. One additional 400-level ACTSC course': []}"
Addictions Mental Health and Policy Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/HEA-Addictions-Mental-Health-Policy-Minor1.html,"{'1. A minimum minor average of 67% will be required for courses presented for the Minor.': [], '2. Successful completion of 5.0 units from the following requirements:': ['Mental health literacy course (0.5 unit): HEALTH 105'], '3. Neuroscience and biology courses (1.0 unit): HLTH 290, HLTH 358': [], '4. Psychosocial and policy courses (1.5 units): HLTH 260/GSJ 260, HLTH 392, PSYCH 257/PSYCH 257R': ['Research methods course (0.5 unit): HLTH 205, HLTH 333, BIOL 361, PSYCH 291, REC 373, SDS 251R, SOC 221', 'Statistics course (0.5 unit): HLTH 204, KIN 232, ARTS 280, PSYCH 292, REC 371, SDS 250R, SOC 280, STAT 202, STAT 221, STAT 231'], '5. Elective courses (1.0 unit):': [], '6. Neuroscience and biology courses: HLTH 458, HLTH 461, HLTH 465, HLTH 471, BIOL 476,  PSYCH 335': [], '7. Psychosocial courses: HLTH 427,  HLTH 448,  HLTH 449, HLTH 479, PSYCH 317, PSYCH 451, REC 251, SOC 249/LS 226, SOCWK 365R': [], '8. Policy courses: HLTH 410, SDS 312R/SWREN 312R': [], '9. Thesis, independent study, and seminar courses (see Note):  HLTH 373,  HLTH 432A,  HLTH 432B,  HLTH 472,  HLTH 473, KIN 431, KIN 432, KIN 433, KIN 472, PSYCH 483, PSYCH 484, PSYCH 499A and PSYCH 499B and PSYCH 499C (all three PSYCH honours thesis courses must be completed), REC 455, REC 471A, REC 471B, REC 472, SDS 450R, SDS 499A, SDS 499B, SOC 498, SOC 499A, SOC 499B': []}"
Addictions Mental Health and Policy Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/HEA-Addictions-Mental-Health-Policy-Minor1.html,"{'1.': 'Mental health literacy course (0.5 unit): HEALTH 105', '2. Neuroscience and biology courses (1.0 unit): HLTH 290, HLTH 358': [], '3. Psychosocial and policy courses (1.5 units): HLTH 260/GSJ 260, HLTH 392, PSYCH 257/PSYCH 257R': ['Research methods course (0.5 unit): HLTH 205, HLTH 333, BIOL 361, LS 221/SOC 221, PSYCH 291, REC 373, SDS 251R/SWREN 251R', 'Statistics course (0.5 unit): HLTH 204, ARTS 280, KIN 232, LS 280/SOC 280, PSYCH 292, REC 371, SDS 250R/SWREN 250R, STAT 202, STAT 221, STAT 231'], '4. Elective courses (1.0 unit):': [], '5. Neuroscience and biology courses: HLTH 458, HLTH 461, HLTH 465, HLTH 471, BIOL 476,  PSYCH 335': [], '6. Psychosocial courses: HLTH 427,  HLTH 448,  HLTH 449, HLTH 479, LS 226/SOC 249, PSYCH 317, PSYCH 451, REC 251, SOCWK 365R': [], '7. Policy courses: HLTH 410, SDS 312R/SWREN 312R': [], '8. Thesis, independent study, and seminar courses (see Note):  HLTH 373,  HLTH 432A,  HLTH 432B,  HLTH 472,  HLTH 473, KIN 431, KIN 432, KIN 433, KIN 472, PSYCH 483, PSYCH 484, PSYCH 499A and PSYCH 499B and PSYCH 499C (all three PSYCH honours thesis courses must be completed), REC 455, REC 471A, REC 471B, REC 472, SDS 450R, SDS 499A, SDS 499B, SOC 498, SOC 499A, SOC 499B': []}"
Aging Studies Option,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/HEA-Aging-Studies-Option1.html,"{'1. A minimum cumulative option average of 67% is required for the courses presented for the Option.': [], '2. Successful completion of 3.0 units from the following requirements:': [], '3. Required courses (0.5 unit):\xa0GERON 201/HLTH 201': [], '4. Restricted elective courses (2.5 units):': ['GERON 218/HLTH 218/PSYCH 218, GERON 245/HLTH 245, GERON 310/HLTH 310/KIN 310, GERON 320/HLTH 320, GERON 352/HLTH 352/KIN 352/REC 362/SOC 352, GERON 355/BIOL 355, GERON 401A and GERON 401B', 'HLTH 253/SOC 253,         HLTH 380, HLTH 407/KIN 407, HLTH 420/GEOG 432/PLAN 432, HLTH 427, HLTH 430, HLTH 451', 'KIN 342, KIN 343, KIN 359, KIN 406, KIN 418, KIN 422, KIN 429', 'PHIL 226, PHIL 319J, PHIL 321J', 'PSYCH 398', 'REC 361', 'RS 266', 'SDS 367R', 'SOC 248', 'SOCWK 240R', 'A statistics course (0.5 unit) from: HLTH 204, ARTS 280, KIN 232, PSYCH 292, REC 371, SDS 250R, SOC 280, STAT 202, STAT 221, STAT 231']}"
Aging Studies Option,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/HEA-Aging-Studies-Option1.html,"{'1. Required courses (0.5 unit):\xa0GERON 201/HLTH 201': [], '2. Restricted elective courses (2.5 units):': ['GERON 218/HLTH 218/PSYCH 218, GERON 245/HLTH 245, GERON 310/HLTH 310/KIN 310, GERON 320/HLTH 320, GERON 352/HLTH 352/KIN 352/REC 362/SOC 352, GERON 355/BIOL 355, GERON 401A and GERON 401B', 'HLTH 253/SOC 253,         HLTH 380/GSJ 380, HLTH 420/GEOG 432/PLAN 432, HLTH 427, HLTH 430, HLTH 451', 'KIN 342, KIN 343, KIN 359, KIN 406, KIN 407, KIN 418, KIN 422, KIN 429', 'PHIL 226, PHIL 319J, PHIL 321J', 'PSYCH 398', 'REC 361', 'RS 266, RS 387', 'SDS 367R', 'SOC 248', 'SOCWK 240R', 'A statistics course (0.5 unit) from: HLTH 204, ARTS 280, KIN 232, PSYCH 292, REC 371, SDS 250R/SWREN 250R, SOC 280/LS 280, STAT 202, STAT 221, STAT 231']}"
Anthropology Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ARTS-Anthropology-Minor.html,"{'1.': 'ANTH 201/CLAS 221, ANTH 202, ANTH 204'}"
Anthropology Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ARTS-Anthropology-Minor.html,"{'1.': 'ANTH 201/CLAS 221, ANTH 202, ANTH 204'}"
