Course,Code,Name
ACTSC, 221, Introductory Financial Mathematics (Non-Specialist Level)
ACTSC, 231, Introductory Financial Mathematics
ACTSC, 232, Life Contingencies 1
ACTSC, 291, Global Capital Markets
ACTSC, 331, Life Contingencies 2
ACTSC, 363, Casualty and Health Insurance Mathematics 1
ACTSC, 371, Introduction to Investments
ACTSC, 372, Investment Science and Corporate Finance
ACTSC, 391, Corporate Finance
ACTSC, 431, Casualty and Health Insurance Mathematics 2
ACTSC, 432, Property and Casualty Insurance: Pricing
ACTSC, 445, Quantitative Enterprise Risk Management
ACTSC, 446, Mathematics of Financial Markets
ACTSC, 453, Basic Pension Mathematics
ACTSC, 454, Longevity and Mortality Using Predictive Analytics
ACTSC, 455, Life Contingencies 3
ACTSC, 463, Introduction to Property and Casualty Loss Reserving
ACTSC, 468, Readings in Actuarial Science 1
ACTSC, 469, Readings in Actuarial Science 2
ACTSC, 471, Corporate Financial Decision Making
ACTSC, 489, Advanced Topics in Actuarial Science
AMATH, 231, Calculus 4
AMATH, 242, Introduction to Computational Mathematics
AMATH, 250, Introduction to Differential Equations
AMATH, 251, Introduction to Differential Equations (Advanced Level)
AMATH, 271, Introduction to Theoretical Mechanics
AMATH, 331, Applied Real Analysis
AMATH, 332, Applied Complex Analysis
AMATH, 342, Computational Methods for Differential Equations
AMATH, 343, Discrete Models in Applied Mathematics
AMATH, 350, Differential Equations for Business and Economics
AMATH, 351, Ordinary Differential Equations 2
AMATH, 353, Partial Differential Equations 1
AMATH, 361, Continuum Mechanics
AMATH, 373, Quantum Theory 1
AMATH, 382, Computational Modelling of Cellular Systems
AMATH, 383, Introduction to Mathematical Biology
AMATH, 390, Mathematics and Music
AMATH, 391, From Fourier to Wavelets
AMATH, 442, Computational Methods for Partial Differential Equations
AMATH, 451, Introduction to Dynamical Systems
AMATH, 453, Partial Differential Equations 2
AMATH, 455, Control Theory
AMATH, 456, Calculus of Variations
AMATH, 463, Fluid Mechanics
AMATH, 473, Quantum Theory 2
AMATH, 474, Quantum Theory 3: Quantum Information and Foundations
AMATH, 475, Introduction to General Relativity
AMATH, 477, Stochastic Processes for Applied Mathematics
AMATH, 495, Reading Course
CO, 227, Introduction to Optimization (Non-Specialist Level)
CO, 250, Introduction to Optimization
CO, 255, Introduction to Optimization (Advanced Level)
CO, 327, Deterministic OR Models (Non-Specialist Level)
CO, 330, Combinatorial Enumeration
CO, 331, Coding Theory
CO, 342, Introduction to Graph Theory
CO, 351, Network Flow Theory
CO, 353, Computational Discrete Optimization
CO, 367, Nonlinear Optimization
CO, 370, Deterministic OR Models
CO, 372, Portfolio Optimization Models
CO, 380, Mathematical Discovery and Invention
CO, 430, Algebraic Enumeration
CO, 431, Symmetric Functions
CO, 434, Combinatorial Designs
CO, 439, Topics in Combinatorics
CO, 440, Topics in Graph Theory
CO, 442, Graph Theory
CO, 444, Algebraic Graph Theory
CO, 446, Matroid Theory
CO, 450, Combinatorial Optimization
CO, 452, Integer Programming
CO, 454, Scheduling
CO, 456, Introduction to Game Theory
CO, 459, Topics in Optimization
CO, 463, Convex Optimization and Analysis
CO, 466, Continuous Optimization
CO, 471, Semidefinite Optimization
CO, 480, History of Mathematics
CO, 481, Introduction to Quantum Information Processing
CO, 485, The Mathematics of Public-Key Cryptography
CO, 487, Applied Cryptography
CO, 499, Reading in Combinatorics and Optimization
CS, 100, Introduction to Computing Through Applications
CS, 105, Introduction to Computer Programming 1
CS, 106, Introduction to Computer Programming 2
CS, 114, Principles of Computing for Science
CS, 115, Introduction to Computer Science 1
CS, 116, Introduction to Computer Science 2
CS, 135, Designing Functional Programs
CS, 136, Elementary Algorithm Design and Data Abstraction
CS, 136, Tools and Techniques for Software Development
CS, 137, Programming Principles
CS, 138, Introduction to Data Abstraction and Implementation
CS, 145, Designing Functional Programs (Advanced Level)
CS, 146, Elementary Algorithm Design and Data Abstraction (Advanced Level)
CS, 200, Concepts for Advanced Computer Usage
CS, 230, Introduction to Computers and Computer Systems
CS, 231, Algorithmic Problem Solving
CS, 234, Data Types and Structures
CS, 240, Data Structures and Data Management
CS, 240, Data Structures and Data Management (Enriched)
CS, 241, Foundations of Sequential Programs
CS, 241, Foundations of Sequential Programs (Enriched)
CS, 245, Logic and Computation
CS, 245, Logic and Computation (Enriched)
CS, 246, Object-Oriented Software Development
CS, 246, Object-Oriented Software Development (Enriched)
